category,storage_type,quantity,purchase_temperature_c,moisture_level,perishability_index,household_usage_speed,shelf_life_days,wasted
fish (raw),fridge,3,2.7,0.657,9.66,0.88,2,0
yogurt,fridge,1,4.1,0.77,5.58,0.442,9,0
cooked leftovers,freezer,4,-15.5,0.531,8.86,0.497,11,0
rice (cooked),fridge,9,1.9,0.527,6.55,0.786,4,0
tomato,fridge,1,2.0,0.713,7.03,0.273,8,1
rice (cooked),fridge,2,2.9,0.553,7.32,0.829,4,0
rice (cooked),freezer,1,-18.8,0.511,7.22,0.819,13,0
tomato,fridge,4,3.1,0.68,7.05,0.271,6,0
cooked leftovers,fridge,5,5.5,0.615,9.32,0.827,3,0
leafy greens,pantry,1,20.1,0.958,9.16,0.744,3,0
packaged snacks,pantry,4,22.5,0.032,1.0,0.829,35,0
leafy greens,pantry,3,24.0,0.788,9.03,0.578,3,0
bread,pantry,3,24.8,0.275,7.13,0.437,3,0
leafy greens,fridge,1,3.4,0.884,9.45,0.369,5,1
cooked leftovers,fridge,3,3.6,0.58,8.94,0.736,3,0
bread,freezer,1,-19.8,0.269,7.65,0.629,17,0
fish (raw),freezer,2,-22.0,0.638,10.0,0.585,7,0
bread,pantry,3,21.0,0.294,5.74,0.674,2,0
cooked leftovers,fridge,3,3.2,0.604,8.67,0.181,3,1
chicken (raw),fridge,1,4.4,0.606,9.99,0.187,2,0
root vegetables,fridge,4,3.6,0.345,2.52,0.207,18,1
citrus,freezer,7,-17.9,0.326,3.88,0.506,48,0
milk,fridge,3,2.7,0.925,8.52,0.52,6,0
eggs,pantry,6,22.1,0.156,2.11,0.582,15,0
cheese,fridge,6,5.6,0.354,2.16,0.589,21,0
apple,pantry,7,21.0,0.463,4.24,0.886,11,0
bread,fridge,1,4.7,0.185,6.51,0.199,6,0
berries,freezer,2,-14.9,0.757,8.6,0.591,17,0
berries,pantry,7,23.0,0.723,8.11,0.838,4,0
apple,fridge,3,4.6,0.464,4.06,0.454,19,0
tomato,freezer,2,-17.2,0.743,7.19,0.242,25,1
citrus,fridge,1,4.1,0.424,3.95,0.605,14,0
cooked leftovers,fridge,1,6.0,0.574,9.09,0.59,3,0
leafy greens,pantry,4,23.0,0.829,9.39,0.277,2,0
root vegetables,freezer,6,-19.3,0.344,3.05,0.588,75,0
fish (raw),fridge,4,5.1,0.773,9.9,0.807,2,0
berries,fridge,1,2.2,0.783,9.29,0.247,5,1
yogurt,fridge,1,7.8,0.736,6.1,0.786,10,0
apple,fridge,7,5.2,0.482,3.13,0.773,19,0
tomato,freezer,2,-16.5,0.697,7.05,0.515,24,0
yogurt,freezer,2,-19.9,0.735,6.93,0.82,36,0
bread,fridge,3,3.9,0.234,7.62,0.503,4,0
leafy greens,pantry,10,24.7,0.892,8.94,0.463,2,0
bread,pantry,7,22.1,0.262,7.13,0.756,3,0
milk,fridge,2,5.6,0.885,7.88,0.253,7,1
bread,fridge,2,5.4,0.31,6.98,0.87,5,0
cooked leftovers,fridge,1,5.0,0.656,9.93,0.865,3,0
cooked leftovers,fridge,1,6.4,0.545,9.34,0.29,3,0
chicken (raw),freezer,1,-14.5,0.654,10.0,0.57,7,0
tomato,fridge,5,3.0,0.651,7.02,0.844,7,0
citrus,pantry,2,24.6,0.486,4.12,0.57,8,0
packaged snacks,pantry,2,23.3,0.0,1.0,0.581,59,0
packaged snacks,freezer,3,-16.5,0.01,1.0,0.544,322,0
eggs,fridge,4,3.1,0.171,1.58,0.595,32,0
apple,fridge,2,1.4,0.523,4.26,0.457,20,0
yogurt,pantry,6,23.0,0.735,6.22,0.55,4,1
bread,fridge,3,8.2,0.31,6.97,0.45,5,1
tomato,freezer,1,-19.8,0.763,6.75,0.396,25,0
packaged snacks,pantry,3,22.8,0.0,1.1,0.352,61,1
bread,freezer,2,-19.7,0.228,7.14,0.502,17,0
leafy greens,pantry,2,23.2,0.86,8.15,0.322,3,0
rice (cooked),fridge,3,3.5,0.573,6.81,0.227,3,1
root vegetables,pantry,5,24.7,0.358,3.64,0.332,10,0
banana,pantry,5,22.2,0.553,8.55,0.724,3,0
tomato,fridge,1,3.9,0.597,6.83,0.195,7,1
banana,freezer,2,-19.4,0.563,8.13,0.22,17,0
root vegetables,fridge,6,3.1,0.223,2.51,0.854,26,0
rice (cooked),freezer,3,-18.0,0.518,7.29,0.261,14,0
eggs,fridge,4,3.1,0.131,2.65,0.266,28,1
apple,pantry,4,24.6,0.453,3.59,0.857,15,0
citrus,fridge,2,2.1,0.345,3.85,0.57,13,0
leafy greens,fridge,5,2.6,0.78,8.85,0.63,6,0
banana,pantry,3,19.0,0.493,7.94,0.602,3,0
chicken (raw),freezer,5,-16.7,0.632,10.0,0.536,6,0
fish (raw),fridge,2,3.2,0.729,10.0,0.619,2,0
milk,fridge,2,4.2,1.0,8.82,0.237,7,0
yogurt,freezer,3,-19.7,0.809,5.97,0.802,34,0
banana,fridge,5,4.7,0.589,9.14,0.817,5,0
chicken (raw),fridge,4,2.1,0.57,10.0,0.617,2,0
apple,pantry,1,22.9,0.384,4.08,0.647,9,1
fish (raw),freezer,4,-17.3,0.676,10.0,0.578,7,0
bread,pantry,1,23.1,0.387,7.07,0.82,3,0
packaged snacks,fridge,5,2.8,0.055,1.29,0.546,75,0
cheese,fridge,3,3.4,0.322,2.63,0.471,20,0
rice (cooked),fridge,3,3.1,0.524,6.45,0.912,4,0
yogurt,fridge,1,2.6,0.697,6.13,0.715,12,0
fish (raw),fridge,5,6.3,0.731,10.0,0.535,2,0
apple,fridge,5,4.1,0.375,4.0,0.785,21,0
yogurt,fridge,4,4.2,0.711,5.76,0.807,11,0
berries,pantry,2,22.8,0.78,8.53,0.814,3,0
berries,fridge,3,4.1,0.827,8.7,0.916,6,0
fish (raw),freezer,4,-17.0,0.656,10.0,0.587,7,0
packaged snacks,pantry,2,21.7,0.067,1.0,0.421,47,1
bread,fridge,5,4.3,0.271,6.54,0.499,4,0
citrus,fridge,3,3.0,0.44,4.6,0.576,16,0
tomato,pantry,7,22.4,0.78,7.07,0.851,3,0
yogurt,fridge,2,5.8,0.732,6.71,0.685,9,0
root vegetables,pantry,4,24.0,0.265,3.09,0.499,11,0
cooked leftovers,fridge,5,1.1,0.645,9.08,0.563,3,0
packaged snacks,pantry,3,23.7,0.033,1.09,0.828,56,0
milk,pantry,2,21.6,0.927,7.69,0.534,4,0
apple,pantry,1,23.3,0.424,3.78,0.801,13,0
root vegetables,fridge,2,3.6,0.162,2.55,0.597,21,0
citrus,fridge,6,4.2,0.395,3.99,0.826,12,0
tomato,freezer,1,-21.2,0.722,7.05,0.573,25,0
tomato,fridge,1,2.7,0.691,7.43,0.503,9,0
citrus,fridge,6,6.3,0.33,4.24,0.493,12,0
root vegetables,pantry,3,21.6,0.201,2.43,0.438,10,1
cheese,fridge,2,2.0,0.387,3.34,0.538,23,0
milk,fridge,1,5.3,0.875,8.22,0.534,7,0
milk,fridge,5,3.9,1.0,7.66,0.913,6,0
fish (raw),freezer,3,-16.6,0.729,9.97,0.887,7,0
eggs,fridge,2,5.2,0.189,2.27,0.306,33,0
packaged snacks,pantry,5,22.2,0.038,1.13,0.512,61,0
rice (cooked),fridge,4,4.6,0.593,6.99,0.498,4,0
tomato,fridge,1,7.0,0.741,7.56,0.58,7,0
rice (cooked),freezer,3,-16.4,0.553,6.4,0.879,14,0
cooked leftovers,fridge,3,3.6,0.62,9.79,0.947,3,0
yogurt,freezer,5,-14.8,0.788,6.67,0.535,35,1
rice (cooked),fridge,4,1.8,0.578,7.4,0.5,4,0
root vegetables,fridge,4,5.3,0.246,3.81,0.37,26,1
root vegetables,fridge,5,6.0,0.293,2.63,0.113,19,0
berries,freezer,2,-16.9,0.789,8.68,0.546,17,0
yogurt,fridge,3,4.9,0.779,5.89,0.231,12,1
chicken (raw),fridge,1,7.4,0.624,9.49,0.272,2,1
fish (raw),freezer,5,-18.9,0.751,9.16,0.739,7,0
yogurt,fridge,4,2.8,0.751,5.95,0.524,10,0
milk,fridge,3,3.9,0.912,7.59,0.5,6,0
milk,freezer,1,-19.3,0.855,8.57,0.67,23,0
apple,fridge,1,6.8,0.548,3.98,0.146,20,0
bread,pantry,5,20.7,0.397,6.63,0.242,3,1
packaged snacks,pantry,4,20.3,0.021,1.35,0.553,37,0
fish (raw),fridge,2,4.0,0.674,10.0,0.536,2,1
rice (cooked),pantry,4,22.2,0.586,6.7,0.137,3,0
root vegetables,pantry,3,23.2,0.223,2.77,0.448,12,0
cheese,freezer,2,-15.8,0.417,2.66,0.909,72,0
bread,pantry,4,22.1,0.304,7.2,0.607,2,0
eggs,freezer,2,-16.8,0.108,1.86,0.898,100,0
cooked leftovers,fridge,3,4.0,0.572,8.89,0.261,3,1
leafy greens,pantry,1,24.7,0.835,9.52,0.9,3,0
berries,freezer,2,-19.1,0.747,7.94,0.547,19,0
tomato,fridge,3,6.8,0.778,7.14,0.829,8,0
bread,pantry,4,23.7,0.257,6.68,0.508,3,0
berries,fridge,5,3.9,0.821,8.8,0.593,6,0
root vegetables,freezer,4,-19.5,0.238,3.35,0.504,73,0
root vegetables,fridge,2,5.6,0.221,2.77,0.806,23,0
citrus,pantry,3,22.8,0.429,4.3,0.804,8,0
citrus,pantry,1,23.5,0.326,4.24,0.588,7,0
eggs,fridge,5,3.7,0.193,2.35,0.279,31,0
citrus,fridge,9,5.4,0.341,3.98,0.837,13,0
cooked leftovers,fridge,6,4.3,0.581,8.76,0.588,3,0
yogurt,fridge,3,5.3,0.722,6.44,0.871,9,0
apple,freezer,3,-18.6,0.452,3.63,0.542,72,0
chicken (raw),fridge,1,5.7,0.63,9.32,0.269,2,1
root vegetables,pantry,3,22.6,0.363,3.9,0.833,10,0
fish (raw),fridge,4,1.5,0.703,9.45,0.789,2,0
chicken (raw),fridge,2,2.8,0.638,10.0,0.508,2,1
root vegetables,pantry,3,25.1,0.198,2.85,0.868,12,0
root vegetables,fridge,1,6.1,0.168,2.6,0.691,23,0
apple,pantry,3,25.0,0.477,3.77,0.552,6,0
banana,fridge,4,2.6,0.459,8.34,0.403,6,0
packaged snacks,pantry,2,23.8,0.071,1.0,0.776,51,0
apple,fridge,3,5.0,0.454,4.55,0.675,22,0
root vegetables,fridge,1,5.5,0.236,2.53,0.97,27,0
rice (cooked),fridge,5,4.0,0.59,7.33,0.856,4,0
fish (raw),fridge,3,4.2,0.695,10.0,0.558,2,0
yogurt,freezer,1,-19.2,0.723,5.65,0.897,34,0
berries,pantry,3,21.1,0.859,9.0,0.483,2,0
rice (cooked),fridge,2,3.5,0.544,7.52,0.218,4,1
rice (cooked),pantry,3,25.4,0.602,7.53,0.826,3,0
bread,pantry,2,24.5,0.236,6.9,0.195,3,1
cooked leftovers,pantry,2,25.3,0.53,8.83,0.566,1,0
tomato,pantry,6,24.4,0.643,6.66,0.812,3,0
milk,fridge,2,2.3,0.83,8.27,0.728,6,0
yogurt,fridge,2,-0.3,0.803,6.39,0.898,11,0
rice (cooked),fridge,3,4.6,0.591,5.96,0.807,5,0
bread,pantry,4,27.4,0.263,8.05,0.292,3,1
eggs,fridge,1,3.9,0.209,1.06,0.528,24,1
banana,freezer,2,-18.2,0.456,8.34,0.615,18,1
cooked leftovers,fridge,5,0.9,0.54,8.1,0.634,3,0
citrus,fridge,3,5.4,0.363,3.43,0.833,12,0
root vegetables,fridge,2,4.2,0.259,2.48,0.791,24,0
banana,fridge,2,5.8,0.454,8.4,0.877,5,0
citrus,fridge,4,4.8,0.37,4.75,0.775,13,0
bread,fridge,1,2.5,0.211,6.18,0.504,5,0
cheese,freezer,5,-16.8,0.398,2.87,0.55,80,0
chicken (raw),fridge,2,5.2,0.718,9.79,0.209,1,1
yogurt,fridge,4,1.4,0.763,6.11,0.614,11,0
citrus,fridge,3,4.0,0.508,3.63,0.556,13,0
bread,pantry,4,24.6,0.379,7.12,0.519,2,0
bread,freezer,2,-19.3,0.283,6.62,0.476,18,1
banana,fridge,5,2.6,0.611,8.16,0.224,4,1
banana,freezer,1,-16.5,0.56,8.08,0.827,19,0
berries,pantry,2,22.1,0.776,8.74,0.61,3,1
milk,fridge,2,4.0,0.98,7.77,0.573,7,0
fish (raw),fridge,2,7.9,0.674,10.0,0.874,2,0
milk,freezer,1,-18.1,0.918,7.8,0.614,24,0
yogurt,fridge,7,3.4,0.751,6.45,0.26,10,1
cooked leftovers,freezer,1,-20.9,0.528,8.77,0.486,11,0
milk,fridge,3,2.3,0.912,7.05,0.493,8,0
yogurt,fridge,4,7.0,0.737,6.06,0.618,11,0
cheese,fridge,4,5.4,0.398,3.78,0.158,18,0
root vegetables,fridge,4,3.1,0.273,3.1,0.798,21,0
packaged snacks,pantry,4,21.6,0.027,1.96,0.816,51,0
rice (cooked),fridge,5,5.7,0.474,7.17,0.239,4,0
cooked leftovers,fridge,2,5.7,0.693,9.05,0.477,2,1
citrus,fridge,9,4.5,0.507,4.77,0.618,14,0
chicken (raw),fridge,5,4.6,0.647,9.78,0.75,2,0
bread,pantry,8,22.3,0.405,6.63,0.598,3,0
chicken (raw),freezer,1,-17.7,0.713,9.88,0.925,7,0
eggs,fridge,6,0.8,0.263,2.04,0.98,29,0
milk,fridge,1,4.6,0.899,8.69,0.634,8,0
packaged snacks,fridge,2,3.9,0.08,1.13,0.285,98,1
chicken (raw),fridge,4,3.8,0.7,10.0,0.982,2,0
rice (cooked),fridge,6,2.9,0.535,6.84,0.36,4,1
chicken (raw),freezer,3,-13.3,0.562,8.9,0.212,7,1
banana,pantry,2,22.6,0.579,7.9,0.189,3,1
milk,freezer,2,-18.9,0.974,6.81,0.193,24,1
apple,fridge,4,7.2,0.431,4.75,0.179,16,1
rice (cooked),pantry,2,22.5,0.523,7.36,0.531,2,0
tomato,fridge,5,2.0,0.731,7.51,0.307,7,0
cooked leftovers,pantry,4,22.4,0.578,9.09,0.649,2,1
apple,fridge,4,1.9,0.46,4.55,0.802,23,0
packaged snacks,pantry,2,22.9,0.042,1.0,0.456,57,0
tomato,fridge,1,6.9,0.705,7.27,0.508,9,0
leafy greens,freezer,9,-16.8,0.823,8.57,0.597,18,0
chicken (raw),fridge,2,6.1,0.723,9.94,0.542,2,0
yogurt,fridge,3,4.2,0.745,6.59,0.79,10,0
cooked leftovers,pantry,4,23.8,0.691,9.34,0.662,1,0
tomato,freezer,3,-17.4,0.602,7.14,0.751,26,0
rice (cooked),fridge,4,2.4,0.498,6.77,0.569,4,0
berries,fridge,1,3.7,0.854,10.0,0.504,5,0
bread,fridge,1,5.4,0.301,6.51,0.542,6,0
cooked leftovers,pantry,3,23.5,0.624,9.15,0.563,2,0
banana,fridge,1,2.4,0.577,7.12,0.515,5,0
root vegetables,fridge,4,2.8,0.223,3.17,0.551,20,0
rice (cooked),pantry,4,24.1,0.545,7.37,0.224,3,0
root vegetables,pantry,4,26.1,0.265,2.71,0.921,6,0
fish (raw),freezer,2,-18.0,0.685,10.0,0.819,7,0
chicken (raw),fridge,5,1.4,0.563,10.0,0.65,2,0
banana,freezer,4,-15.8,0.58,8.57,0.458,17,0
tomato,fridge,3,3.7,0.722,6.82,0.211,7,1
chicken (raw),fridge,1,2.6,0.687,9.69,0.539,2,0
tomato,fridge,2,4.2,0.61,5.58,0.533,6,1
rice (cooked),pantry,7,24.3,0.551,6.89,0.65,3,0
chicken (raw),fridge,3,4.8,0.617,10.0,0.869,2,0
root vegetables,freezer,5,-16.8,0.219,2.64,0.578,76,0
root vegetables,fridge,3,2.8,0.216,2.86,0.837,18,0
chicken (raw),pantry,2,23.8,0.573,9.88,0.311,1,0
root vegetables,fridge,1,0.9,0.372,2.81,0.191,20,1
yogurt,freezer,6,-17.2,0.705,5.84,0.88,36,0
chicken (raw),freezer,7,-15.3,0.723,9.6,0.569,7,0
milk,fridge,5,1.8,0.929,8.19,0.45,7,0
leafy greens,fridge,3,5.0,0.812,8.39,0.269,4,0
yogurt,freezer,4,-17.8,0.71,5.74,0.426,36,0
chicken (raw),pantry,4,24.3,0.731,10.0,0.943,1,0
leafy greens,fridge,2,5.1,0.893,8.75,0.842,5,0
apple,pantry,4,22.9,0.48,2.98,0.84,14,0
tomato,pantry,2,21.3,0.716,7.37,0.775,5,0
apple,fridge,3,5.5,0.488,5.09,0.53,20,0
eggs,fridge,2,1.7,0.306,2.16,0.736,30,0
rice (cooked),fridge,5,2.3,0.513,7.14,0.467,4,0
fish (raw),fridge,5,2.6,0.707,9.52,0.898,2,0
milk,fridge,2,4.5,1.0,8.6,0.56,6,0
yogurt,fridge,2,5.6,0.784,6.09,0.451,9,0
yogurt,fridge,7,4.4,0.791,5.94,0.927,8,0
citrus,freezer,2,-19.1,0.358,4.95,0.803,48,0
leafy greens,pantry,4,22.9,0.798,8.32,0.526,2,1
milk,freezer,3,-17.2,0.971,7.9,0.63,24,1
cooked leftovers,fridge,2,2.9,0.555,9.41,0.748,3,0
yogurt,fridge,4,6.4,0.799,5.79,0.781,10,0
banana,fridge,1,3.4,0.551,7.78,0.807,5,0
milk,fridge,1,2.6,0.84,7.92,0.842,7,0
rice (cooked),fridge,5,4.7,0.592,7.29,0.684,4,0
rice (cooked),freezer,4,-17.2,0.539,7.24,0.557,14,0
leafy greens,freezer,4,-17.9,0.822,9.94,0.633,17,0
leafy greens,fridge,2,5.3,0.92,9.2,0.208,6,1
chicken (raw),fridge,4,3.5,0.682,10.0,0.687,2,0
apple,pantry,2,23.3,0.41,4.82,0.922,12,0
fish (raw),fridge,6,3.0,0.712,10.0,0.945,2,0
apple,freezer,7,-18.4,0.406,4.36,0.89,74,0
root vegetables,pantry,2,23.9,0.202,3.41,0.374,12,0
root vegetables,pantry,5,22.4,0.288,3.12,0.701,16,0
citrus,pantry,4,22.8,0.378,3.53,0.481,8,0
rice (cooked),fridge,3,1.5,0.569,7.07,0.567,4,0
rice (cooked),fridge,8,3.7,0.608,7.71,0.288,4,1
chicken (raw),fridge,1,1.6,0.684,10.0,0.85,2,0
cheese,freezer,3,-18.0,0.295,1.77,0.832,76,0
banana,fridge,5,3.8,0.624,8.19,0.399,5,0
cheese,fridge,3,4.6,0.292,3.9,0.206,16,0
leafy greens,pantry,3,21.1,0.828,9.06,0.274,2,0
berries,fridge,3,3.2,0.761,9.24,0.567,5,0
apple,fridge,2,1.5,0.404,3.66,0.362,27,1
yogurt,freezer,1,-17.3,0.812,5.97,0.5,32,0
leafy greens,fridge,2,5.2,0.874,8.8,0.885,5,0
chicken (raw),fridge,3,5.4,0.684,9.73,0.828,2,0
tomato,fridge,2,3.1,0.673,6.99,0.961,9,0
citrus,freezer,5,-18.6,0.354,3.55,0.525,48,0
bread,fridge,3,4.3,0.335,7.0,0.237,5,1
cheese,fridge,5,3.9,0.322,3.38,0.273,17,0
berries,fridge,2,5.1,0.753,8.97,0.722,5,0
cooked leftovers,fridge,2,4.4,0.553,9.19,0.651,3,0
banana,fridge,7,4.0,0.597,7.42,0.318,5,1
berries,pantry,2,22.1,0.777,9.14,0.333,3,1
cooked leftovers,fridge,2,3.5,0.625,8.75,0.236,3,1
apple,freezer,3,-19.3,0.319,3.2,0.785,71,0
yogurt,fridge,2,5.0,0.701,5.82,0.547,11,0
citrus,fridge,5,3.9,0.487,3.57,0.206,14,1
tomato,fridge,2,4.4,0.661,7.17,0.527,7,0
yogurt,freezer,5,-15.2,0.715,5.94,0.781,35,0
rice (cooked),fridge,3,5.1,0.572,7.21,0.928,4,0
fish (raw),fridge,4,6.3,0.704,10.0,0.896,2,0
berries,freezer,2,-18.6,0.81,8.02,0.599,18,1
banana,fridge,1,4.2,0.593,7.32,0.81,5,0
yogurt,fridge,6,3.9,0.707,6.14,0.486,9,1
cheese,fridge,5,5.7,0.403,2.86,0.549,25,1
fish (raw),freezer,3,-19.3,0.59,10.0,0.856,7,0
packaged snacks,pantry,5,21.9,0.0,1.1,0.662,71,0
leafy greens,fridge,4,5.3,0.885,9.61,0.62,5,0
eggs,pantry,4,22.8,0.119,2.32,0.296,17,1
cheese,fridge,3,6.1,0.423,3.78,0.941,21,0
citrus,fridge,5,3.8,0.368,4.37,0.22,16,1
fish (raw),fridge,3,2.4,0.766,10.0,0.437,2,0
leafy greens,freezer,4,-18.1,0.892,8.95,0.881,18,0
yogurt,fridge,1,6.4,0.818,5.88,0.266,10,1
root vegetables,fridge,2,4.6,0.281,2.64,0.509,25,0
leafy greens,fridge,1,4.6,0.853,8.89,0.533,5,0
bread,fridge,2,6.7,0.218,7.18,0.568,5,1
rice (cooked),fridge,1,2.7,0.536,6.82,0.169,5,1
cheese,fridge,2,4.3,0.338,3.31,0.499,23,0
eggs,fridge,3,4.2,0.202,2.11,0.437,27,0
cheese,freezer,3,-18.2,0.35,3.21,0.596,78,0
eggs,pantry,4,23.9,0.187,1.68,0.128,19,1
apple,pantry,1,22.4,0.444,4.1,0.695,9,0
milk,fridge,3,4.7,0.927,8.0,0.876,6,0
chicken (raw),freezer,1,-17.8,0.647,10.0,0.824,7,0
cooked leftovers,pantry,2,22.9,0.668,9.58,0.589,2,0
citrus,freezer,3,-19.2,0.3,3.82,0.187,47,1
cooked leftovers,freezer,4,-19.7,0.73,9.25,0.101,11,0
citrus,freezer,1,-18.4,0.393,4.58,0.523,48,0
apple,fridge,1,4.2,0.487,3.92,0.804,22,0
cooked leftovers,fridge,1,3.8,0.606,9.17,0.587,3,1
cheese,freezer,2,-16.5,0.401,3.46,0.824,73,0
leafy greens,fridge,5,2.5,0.858,8.29,0.493,5,0
berries,pantry,4,25.2,0.746,8.84,0.867,2,0
leafy greens,fridge,2,6.2,0.821,9.17,0.286,5,1
apple,fridge,3,2.5,0.38,3.97,0.567,19,1
bread,fridge,3,3.9,0.365,7.44,0.641,5,0
leafy greens,pantry,4,22.0,0.841,8.37,0.132,2,1
packaged snacks,pantry,1,21.6,0.057,1.73,0.345,48,0
rice (cooked),freezer,3,-18.8,0.532,7.16,0.899,14,0
berries,freezer,1,-17.4,0.847,9.44,0.532,17,0
banana,fridge,1,5.8,0.481,7.18,0.197,4,1
rice (cooked),freezer,5,-18.8,0.55,7.51,0.834,15,0
citrus,pantry,4,21.1,0.44,3.62,0.437,8,0
leafy greens,fridge,2,4.0,0.825,9.32,0.759,5,0
tomato,fridge,3,4.3,0.628,7.04,0.307,8,0
apple,fridge,3,6.8,0.369,4.64,0.523,20,0
berries,fridge,3,2.8,0.799,8.28,0.586,6,0
chicken (raw),fridge,3,5.2,0.622,10.0,0.641,2,0
root vegetables,pantry,1,22.0,0.228,4.06,0.202,17,1
citrus,fridge,3,5.5,0.334,4.33,0.611,14,1
fish (raw),freezer,7,-15.2,0.682,9.17,0.997,7,0
apple,fridge,2,3.6,0.395,3.56,0.53,23,0
banana,pantry,7,24.4,0.514,8.31,0.639,2,0
root vegetables,pantry,1,23.6,0.296,2.74,0.464,13,1
banana,fridge,1,3.6,0.613,6.92,0.689,5,0
chicken (raw),fridge,3,3.5,0.654,10.0,0.297,2,1
cheese,pantry,3,20.4,0.316,3.62,0.272,14,1
milk,fridge,5,4.8,0.854,7.84,0.832,7,0
cooked leftovers,pantry,1,22.3,0.591,8.63,0.596,1,0
cooked leftovers,pantry,3,24.8,0.698,9.28,0.463,1,0
leafy greens,fridge,4,5.9,0.876,9.62,0.134,5,1
apple,fridge,1,0.2,0.433,3.62,0.806,19,0
cooked leftovers,fridge,6,5.5,0.655,8.49,0.865,3,0
berries,pantry,2,21.5,0.826,8.6,0.622,4,0
packaged snacks,pantry,5,21.6,0.034,1.21,0.551,50,0
apple,fridge,3,5.9,0.473,4.09,0.458,21,0
rice (cooked),pantry,2,23.1,0.624,7.25,0.402,3,0
yogurt,fridge,2,-0.3,0.796,6.33,0.569,10,0
eggs,pantry,1,23.9,0.141,2.69,0.436,16,0
milk,freezer,1,-16.4,0.906,7.38,0.806,25,0
packaged snacks,pantry,2,19.8,0.19,1.1,0.194,52,1
cooked leftovers,pantry,4,23.7,0.581,8.52,0.589,2,0
packaged snacks,pantry,2,24.0,0.044,1.0,0.598,63,0
chicken (raw),freezer,5,-18.4,0.542,10.0,0.662,6,0
berries,pantry,2,22.4,0.728,10.0,0.941,3,0
citrus,freezer,1,-18.6,0.421,4.51,0.376,49,0
bread,fridge,4,3.9,0.385,6.81,0.846,5,0
chicken (raw),fridge,4,4.1,0.595,9.95,0.835,2,0
yogurt,fridge,4,5.3,0.735,5.95,0.45,10,0
milk,freezer,2,-21.3,0.96,7.59,0.226,26,0
root vegetables,fridge,5,3.5,0.246,3.14,0.578,20,0
packaged snacks,pantry,5,22.7,0.053,1.0,0.306,50,1
chicken (raw),freezer,1,-18.0,0.668,10.0,0.912,7,0
cheese,fridge,3,1.5,0.377,2.68,0.177,19,0
packaged snacks,pantry,3,23.0,0.038,1.14,0.268,32,1
yogurt,fridge,1,4.1,0.776,5.87,0.636,10,1
packaged snacks,pantry,5,22.3,0.0,1.0,0.306,44,1
tomato,pantry,3,24.5,0.606,7.65,0.6,5,0
apple,pantry,1,21.6,0.453,4.8,0.607,17,0
fish (raw),fridge,2,5.1,0.591,10.0,0.637,2,0
berries,freezer,1,-16.7,0.786,9.62,0.753,17,0
cheese,fridge,2,3.0,0.364,3.52,0.219,23,1
rice (cooked),fridge,3,2.1,0.569,6.87,0.739,5,0
packaged snacks,freezer,1,-16.1,0.071,1.04,0.586,314,0
citrus,freezer,1,-18.6,0.411,3.94,0.575,48,0
packaged snacks,pantry,1,22.1,0.083,1.0,0.239,47,1
milk,fridge,4,2.7,1.0,7.67,0.51,7,0
packaged snacks,pantry,1,24.8,0.001,1.64,0.909,50,0
tomato,pantry,7,25.4,0.674,7.79,0.521,3,0
leafy greens,freezer,1,-18.4,0.815,10.0,0.831,17,0
cooked leftovers,fridge,3,5.6,0.652,9.1,0.465,3,0
eggs,fridge,3,7.4,0.172,2.17,0.594,27,0
tomato,fridge,3,5.7,0.763,6.9,0.471,9,0
yogurt,fridge,4,0.2,0.759,5.81,0.502,9,0
berries,fridge,3,2.4,0.781,9.37,0.821,5,0
tomato,fridge,3,5.5,0.625,6.85,0.52,7,0
packaged snacks,pantry,3,25.7,0.071,1.0,0.571,52,0
yogurt,fridge,2,2.7,0.802,6.01,0.564,10,0
packaged snacks,pantry,3,21.1,0.012,1.55,0.891,34,0
chicken (raw),fridge,4,2.3,0.636,10.0,0.265,2,1
banana,fridge,2,3.1,0.665,7.99,0.305,6,1
citrus,fridge,1,3.7,0.382,4.37,0.245,16,0
chicken (raw),fridge,3,1.6,0.669,10.0,0.477,2,0
cheese,fridge,3,5.1,0.408,2.64,0.592,23,0
apple,pantry,6,22.0,0.561,4.38,0.792,10,0
milk,fridge,4,3.7,0.859,8.05,0.497,7,0
yogurt,fridge,1,3.1,0.737,6.21,0.818,9,0
citrus,fridge,3,5.2,0.4,4.19,0.259,12,0
bread,pantry,1,20.6,0.291,6.42,0.645,2,0
berries,freezer,2,-20.1,0.788,9.23,0.557,18,0
root vegetables,freezer,2,-17.9,0.164,2.74,0.86,71,0
tomato,pantry,1,22.1,0.752,7.08,0.243,4,1
apple,pantry,4,25.3,0.387,3.51,0.851,12,0
yogurt,fridge,4,3.2,0.701,6.63,0.342,10,0
berries,freezer,3,-19.3,0.788,9.3,0.182,17,1
eggs,pantry,6,23.0,0.152,2.32,0.288,22,0
fish (raw),fridge,2,4.2,0.844,8.75,0.232,2,1
chicken (raw),fridge,5,7.0,0.637,10.0,0.668,2,0
packaged snacks,pantry,3,24.5,0.016,1.0,0.17,38,1
yogurt,fridge,3,4.0,0.764,6.88,0.801,10,0
cooked leftovers,freezer,4,-16.6,0.617,8.87,0.357,11,1
packaged snacks,pantry,5,25.1,0.128,1.26,0.462,52,0
bread,fridge,2,3.6,0.265,6.28,0.898,5,0
banana,fridge,3,5.9,0.569,7.52,0.547,6,0
